-2.5727, -0.4443, -11.0290
-0.9401, 8.7198, -66.1773
3.1221, -8.3986, 94.8580
2.0678, 1.3851, 11.9532
-3.8008, -0.0547, -23.9702
3.2405, -12.5667, 128.4646
-2.3057, 6.8723, -63.9863
1.2315, -12.1651, 108.8702
7.6245, 6.0290, 23.1874
-1.7729, 3.7296, -35.1997
0.0603, 9.1483, -62.2966
3.4935, 3.6175, 8.3496
-1.0840, 4.8523, -38.4099
-4.6459, -1.7643, -18.5214
2.7276, 3.1310, 4.9821
-2.0481, 8.9418, -78.3729
8.4107, 4.1886, 43.4268
5.5281, -4.7717, 88.3832
0.8090, 12.6651, -82.6570
-1.3072, 11.7526, -92.9052
1.0737, -3.2178, 40.1862
7.0841, 4.6807, 29.1726
-5.2245, -5.1424, 3.0757
-4.4983, -7.1289, 24.0375
-5.6589, -1.7501, -25.5505
-1.9652, -7.8393, 51.1129
-3.5307, 6.8269, -74.5344
0.4191, 3.6251, -17.0653
8.3835, -1.1477, 82.4905
-0.9866, 2.3657, -18.4134
-2.9688, 5.8741, -62.3700
5.7262, 3.1090, 30.3951
-2.3977, 8.8545, -80.2716
-6.2673, -2.3869, -26.8623
2.3268, 0.8606, 20.0700
-0.7372, -6.1751, 48.2746
8.1673, -2.2509, 91.3139
-3.1747, 3.2954, -43.7972
1.5406, -0.7760, 25.2654
2.7051, 0.3326, 26.6441
0.7711, -2.9702, 34.9892
-4.9445, 1.7019, -46.4956
8.0068, -0.2239, 73.0339
0.5843, -2.3778, 30.2944
7.6330, -10.5571, 148.5403
-3.7191, 7.8192, -82.8528
-5.4920, 11.3017, -123.4117
-5.3972, 6.8321, -88.7951
-2.7011, -6.5950, 35.5344
2.6542, -7.4967, 85.4892
0.5935, -5.5124, 53.4511
-4.7700, 13.7698, -136.2725
7.8227, 4.7631, 34.1128
-6.0850, 3.1179, -66.5236
-6.0371, -2.0155, -27.7564
-1.2458, 10.7553, -85.8391
0.8059, 10.2976, -64.9978
-0.8387, -9.4809, 71.1505
-4.6371, -3.5724, -3.4008
-6.4436, 1.6396, -58.2083
-3.3430, -1.8803, -6.1832
3.0799, 5.0677, -6.5937
-5.5253, 9.1212, -107.1978
6.6223, 0.1225, 59.8954
-2.9597, -8.4804, 46.9343
