2.7,18.8,0,0.8,9.1,20,0,7,97,53,1027.6,1024.5,2,3,8.5,18.1,0
6.4,20.7,0,1.8,7,22,6,9,80,39,1024.1,1019,0,6,11.1,19.7,0
6.5,19.9,0.4,2.2,7.3,31,0,4,84,71,1016.8,1015.6,1,3,12.1,17.7,0
9.5,19.2,1.8,1.2,4.7,26,11,6,93,73,1019.3,1018.4,6,6,13.2,17.7,1
9.5,16.4,1.8,1.4,4.9,44,13,17,69,57,1020.4,1022.1,7,5,15.9,16,1
0.7,15.9,6.8,2.4,9.3,24,4,7,86,41,1032,1029.6,0,1,6.9,15.5,1
0.7,18.3,0,0.8,9.3,37,15,13,72,36,1028.9,1024.2,1,5,8.7,17.9,0
3.2,20.4,0,1.4,6.9,24,9,13,58,42,1023.9,1021.1,6,5,10.2,19.3,0
9.8,19.5,8,1.2,2.5,31,0,9,97,64,1026.4,1024.9,7,6,12.1,18.7,1
11.2,20.4,4.6,2.8,1.7,46,19,11,79,50,1020.2,1014,7,7,13.4,19,1
13.4,17.1,2.6,2.6,4.2,54,26,13,63,77,1014.7,1015.2,4,7,15.4,14.8,1
7.9,17.3,4.4,2.2,5.4,19,7,9,99,59,1019,1018.7,6,7,9.6,16.2,1
5.3,18.8,0.2,1,2.3,17,7,7,96,63,1025.1,1024.1,7,6,9.5,17.2,0
7.9,19.7,0,0.2,6.5,31,11,15,86,41,1026,1021.9,6,5,11.7,18.7,0
9,17.1,0,2.2,0.8,43,22,15,62,90,1010.4,1008.1,5,8,15.8,14.9,0
10.2,17.1,24,1.8,6.7,44,19,13,76,54,1013.8,1014.8,6,3,13.2,15.9,1
6.7,16.9,2.6,1.2,3.9,46,9,9,87,75,1015.1,1010.1,2,7,10.5,14.4,1
10.4,17.9,20.6,2,3.2,76,22,30,57,50,1002.3,1002.2,5,6,16.8,13.9,1
3.3,14.3,15.2,1.8,9.4,37,0,17,95,49,1022.9,1023.1,1,1,8,13.9,1
1.2,17,0,1.8,7.8,20,7,6,97,52,1030.1,1028.5,1,6,7.5,15.6,0
3.1,17.1,0,1.2,4.7,28,2,6,94,49,1031.1,1027.4,6,5,9.1,16.6,0
3.3,18.9,0,1.2,7.5,37,11,15,80,40,1024.8,1020.2,7,7,8.9,17.9,0
8.9,17.4,0,2.8,0,43,15,7,68,97,1013.6,1013.2,7,8,14.9,14.9,0
9.3,18.3,19.2,3.8,8.3,33,7,15,65,57,1018,1017.6,3,4,15.6,17.4,1
7.4,17,0,2.6,1.9,28,7,19,84,88,1017.7,1014.1,7,8,12.1,14,0
7.8,19.3,12.6,1.8,9.4,52,4,2,99,50,1017.8,1015.2,1,2,9,19.2,1
9,20.8,4,2,1.3,39,11,11,94,87,1009.7,1007.9,8,7,13.4,18.3,1
11.8,15.9,5.4,1.6,2.2,44,11,15,97,81,1008.2,1007.5,7,7,14.6,14.7,1
9.7,18,11.6,2,3.7,39,7,11,93,86,1012.3,1008.4,5,7,12.5,15.3,1
12.4,16.2,30.6,3.2,5.7,54,19,24,61,45,1005.1,1005.5,4,6,14.4,15,1
6.7,14.1,3,4.2,0,37,4,9,97,76,1015.2,1017,2,6,9.1,13.2,1
7.8,18.1,7.8,1,2,30,11,11,82,86,1021.6,1018.3,7,7,11.8,15,1
11.2,17.5,18.2,0.6,8.2,46,22,20,57,51,1017.3,1018,1,3,14.7,15.6,1
4.7,17.1,0.2,2.6,9.7,24,6,15,70,50,1027.5,1026.5,3,3,11.2,16.4,0
2.1,19.4,0,2,9.8,22,6,6,78,39,1033.2,1030.5,1,1,9.7,19.2,0
2.2,20.3,0,2.6,10,20,7,7,84,40,1034,1030.5,1,1,9.6,18.9,0
2.3,20.7,0,2.2,9.9,22,0,13,74,40,1030.7,1026.4,5,5,10.7,19.1,0
4.3,17.3,0,2.2,3.9,24,11,9,74,58,1029.1,1027.6,5,5,11.7,16.7,0
7,17.6,0,2,10,31,11,13,64,41,1031.7,1028.3,1,2,11.4,17.3,0
8.1,18,0,4.2,9.9,46,17,15,63,42,1030,1026.4,1,3,11.6,17.7,0
9.1,18.7,0,4.4,9.2,39,13,19,52,41,1028.6,1024.7,6,2,12.6,18.5,0
7.6,20.4,0,4.2,9,30,9,9,57,33,1026.9,1023.5,6,1,11,20.3,0
4.9,17.5,0,4,7.2,28,11,15,57,34,1030.4,1027.9,3,5,11.7,16.9,0
5.8,19.7,0,3,9.9,31,7,11,59,27,1031.8,1028.7,1,1,12.2,18.9,0
3.3,21.3,0,3.4,10,33,13,13,49,25,1030.1,1026.4,0,1,13.3,20.3,0
3.3,23.1,0,4.4,10.2,30,11,9,53,21,1028.1,1025.1,6,2,11.9,22.2,0
3.1,23.9,0,2.4,10.5,30,13,9,39,17,1029.5,1027.6,0,4,14.9,23.6,0
